,sample,plate,batch,well,row,col,replicate,region,sort,cm.from.mouth,Paired DNA,prior_cell_type,n_counts,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,_scvi_batch,_scvi_labels,leiden,S_score,G2M_score,phase,esophageal_diff_score,basal_epithelial_score,cd8_score,cd4_score,cd8_cd4_score,leiden2,leiden3,cell_type,Cell Type,dpt_pseudotime,Diffusion Pseudotime,% MT,% ribo
cu03_p2r1C6,cu03,p2,cu03_p2,C6,C,6,1,A,EPCAM+,30.0,True,,704059.0,8292,704059.0,51759.0,7.351515,70271.0,9.98084,0,0,5,0.10800564012454777,-0.10403912149147115,S,0.12552909601392115,1.0379029950946568,-0.10567696131765843,-0.09912052669872841,-0.006556434618930018,5,5,Basal Epithelial,Basal Epithelial,0.11135428,0.11135428,7.351515,9.98084
cu02_p3r4N19,cu02,p3,cu02_p3,N19,N,19,4,2,EPCAM+,34.0,True,,439159.0,7483,439159.0,33000.0,7.514363,57957.0,13.19727,0,0,9,-0.08140641124271863,-0.18889347572585793,G1,0.5222451694756747,1.2403659513443708,-0.1280081332102418,-0.12868803615371385,0.0006799029434720605,9,9,Basal Epithelial,Basal Epithelial,0.093394,0.093394,7.514363,13.19727
cu02_p1r1D5,cu02,p1,cu02_p1,D5,D,5,1,3,EPCAM+,24.0,True,Proliferative Basal Epithelial,1009763.0,7422,1009763.0,51880.0,5.1378393,158282.0,15.675163,0,0,6,0.4298136108409546,0.06160878521136959,S,0.5023060240655698,0.4149552273191512,-0.050532737141475076,-0.08429341688131292,0.033760679739837846,6,6,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.46478513,0.46478513,5.1378393,15.675163
cu01_p1r1B13,cu01,p1,cu01_p1,B13,B,13,1,B,EPCAM+,25.0,True,Suprabasal Epithelial,1955860.0,8742,1955860.0,101023.0,5.165145,239472.0,12.243821,0,0,0,-0.10662732039162148,-0.16579351858696442,G1,0.8508489428272141,0.8508522328212856,-0.054815350100398064,-0.05972060797115167,0.004905257870753604,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.67146516,0.67146516,5.165145,12.243821
cu01_p2r2H16,cu01,p2,cu01_p2,H16,H,16,2,C,EPCAM+,31.0,True,Suprabasal Epithelial,617755.0,6579,617755.0,34335.0,5.5580287,102728.0,16.629246,0,0,2,-0.16001945242623544,-0.2062650479857329,G1,0.5991509073560728,0.7478813203424215,-0.06270030532032252,-0.07404215522110462,0.011341849900782103,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.5800906,0.5800906,5.5580287,16.629246
cu03_p3r2G8,cu03,p3,cu03_p3,G8,G,8,2,B,EPCAM+,27.0,True,,207285.0,6570,207285.0,14498.0,6.9942346,54097.0,26.097885,0,0,9,-0.07738235831264079,-0.12160793698269995,G1,0.7965608701399143,0.9328287700712681,-0.050493081957101824,0.1305044696231683,-0.18099755158027014,9,9,Basal Epithelial,Basal Epithelial,0.22773959,0.22773959,6.9942346,26.097885
cu02_p3r2E6,cu02,p3,cu02_p3,E6,E,6,2,4,EPCAM+,21.0,True,,279139.0,8375,279139.0,11988.0,4.294635,23239.0,8.325243,0,0,0,-0.26793803556850465,-0.2036081738667665,G1,1.101312496644609,0.7318490700423718,-0.0635305529087782,-0.10568004190921783,0.04214948900043963,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.78992516,0.78992516,4.294635,8.325243
cu02_p1r2H8,cu02,p1,cu02_p1,H8,H,8,2,3,EPCAM+,24.0,True,Proliferative Basal Epithelial,940131.0,8206,940131.0,40885.0,4.348862,112981.0,12.017581,0,0,6,0.5240309097106858,0.30590622449980714,S,0.6987567328387762,0.5065450686179103,-0.07908221173100173,-0.07682005155210693,-0.002262160178894801,6,6,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5560216,0.5560216,4.348862,12.017581
cu02_p2r4M9,cu02,p2,cu02_p2,M9,M,9,4,1,EPCAM+,37.0,True,Suprabasal Epithelial,1185828.0,7816,1185828.0,82672.0,6.9716682,189386.0,15.970781,0,0,10,-0.2015985959283982,-0.20771563292038375,G1,1.058970165772473,0.5088122052550317,-0.037877112049609425,-0.04589570604264736,0.008018593993037934,10,10,Suprabasal Epithelial,Suprabasal Epithelial,0.83602554,0.83602554,6.9716682,15.970781
cu02_p1r3J10,cu02,p1,cu02_p1,J10,J,10,3,3,EPCAM+,24.0,True,Suprabasal Epithelial,426787.0,7589,426787.0,35413.0,8.297582,41164.0,9.645092,0,0,3,-0.24560526663963306,-0.18692044716374437,G1,1.394563363098923,0.44276345700025566,-0.07053281873464584,-0.09329796286920707,0.022765144134561224,3,3,Suprabasal Epithelial,Suprabasal Epithelial,0.92819566,0.92819566,8.297582,9.645092
