,0,1
cu01_p1r2E3,25.5239,-3.7378669
cu02_p3r4M5,20.558062,-7.8930516
cu02_p3r3J18,25.347597,-0.5374864
cu03_p1r4N10,25.620686,-6.7336917
cu03_p3r1D11,22.031466,-4.5039787
cu01_p2r2E10,24.300016,-2.8131282
cu01_p2r3L18,23.003937,-3.12859
cu01_p2r2E11,25.572933,-4.2272835
cu01_p1r3I16,27.039387,-5.3469453
cu03_p2r2G8,23.855076,-6.195797
cu01_p1r1D24,19.961315,-7.633526
cu03_p3r1D2,23.748459,-6.187866
cu02_p2r2H9,20.501564,-8.064261
cu03_p2r3I23,14.629026,-0.0033983758
cu01_p1r1B4,20.630804,-0.5326285
cu01_p1r1D14,19.391922,-7.6263657
cu02_p1r2F14,23.605486,-0.9339019
cu03_p1r2F14,21.61592,-5.535759
cu02_p2r1A1,19.461658,-7.6176715
cu01_p2r2E16,26.445118,-5.26325
cu03_p3r2F13,19.960289,-5.4458785
cu02_p2r3I4,27.160318,-7.602948
cu01_p2r1C1,20.15559,-6.357376
cu02_p3r3I12,27.581264,-7.7376313
cu01_p1r1A24,19.48294,-8.895277
cu03_p2r3I16,23.702547,-3.6255145
cu03_p2r2E15,23.546528,-1.585831
cu03_p1r4M12,27.864723,-6.6191597
cu01_p1r3J3,20.408613,0.04977311
cu02_p1r1D6,20.343866,-0.32440525
cu03_p3r1C18,21.446333,-4.6036367
cu02_p3r3I4,23.753647,-3.7835689
cu02_p1r3I12,20.972794,-7.3350153
cu03_p2r2G11,26.98987,-6.496473
eso29_p2C2,23.970919,-7.427954
cu02_p2r1C17,25.077398,-2.5601737
cu02_p3r4M12,21.574768,-8.912251
cu03_p1r4M3,19.869534,-6.276144
cu02_p1r3K22,16.43054,-1.1889857
cu02_p3r1D1,24.933645,-8.705488
cu03_p2r1A12,25.355082,-9.041236
cu02_p1r2F16,26.379301,-2.168928
cu03_p2r4N18,23.866283,-0.19031739
cu01_p2r3K10,23.87322,-5.5853887
cu02_p1r4M1,20.907595,-0.78233904
cu02_p3r2G17,25.697264,-4.5846868
cu01_p1r1C24,21.089796,-8.166432
cu02_p1r1D9,25.01236,-2.3229878
cu01_p2r2E19,22.32056,-3.6503196
cu03_p2r4O7,23.009764,-1.0944757
cu03_p3r3I15,23.443352,-3.1272151
cu01_p2r4M1,25.402391,-2.3703368
cu03_p4r4M21,20.358604,-3.7162046
cu03_p3r2E12,23.16831,-3.9576387
cu02_p3r2G20,25.400562,-3.5473614
cu02_p1r1D23,14.175253,-0.6259821
cu01_p2r1A2,24.12687,-7.0478263
cu02_p3r2G15,22.67399,-2.247185
cu03_p3r1C20,25.572182,-7.811536
cu01_p1r1D5,20.475447,-9.406872
cu02_p2r2H15,26.722155,-7.4222383
cu01_p2r1A14,26.44402,-4.595799
cu03_p4r4M1,26.595444,-2.6111925
cu01_p1r2E11,24.14474,-4.552631
cu01_p2r3I3,21.553652,-7.6101446
cu01_p2r2G1,22.134169,-8.905991
cu01_p1r2H17,25.025463,-2.078422
cu02_p1r1A21,21.069534,-7.7691407
cu01_p1r1C7,26.34867,-1.9101042
cu02_p1r4N9,24.1913,-2.5112615
cu03_p3r4O20,23.214304,-2.1624541
cu01_p2r3L23,14.64814,0.43263677
eso29_p2F10,21.719389,-6.838888
cu02_p1r3L7,25.483305,-5.983568
cu03_p1r1B7,19.314125,-8.99357
cu02_p3r4M1,21.853643,-9.242668
cu03_p4r2F20,24.24787,-4.1505127
cu02_p3r1C10,20.196882,-8.85578
cu02_p1r2H20,21.513033,-6.9021816
cu02_p2r4O11,25.999615,-0.59143317
cu01_p2r1D18,26.646364,-8.755565
cu02_p1r3J22,15.055554,-0.44813836
cu03_p3r2F6,23.110607,-5.853662
cu02_p3r4M14,23.899006,-3.9319813
eso29_p2F11,21.682497,-5.8986735
cu03_p3r3I3,24.971334,-3.6157033
cu03_p3r2F11,26.684147,-3.2987769
cu03_p4r4O3,24.242195,-3.6460083
cu03_p2r4M20,23.168943,-6.2815137
cu02_p3r2H17,23.46886,-8.36479
cu01_p1r2E20,25.763176,-9.106074
cu03_p2r1D23,14.087212,0.020229118
cu03_p2r1C1,22.89621,-4.65112
cu03_p2r2F20,25.62882,-1.1981279
cu02_p2r4O18,24.90806,-8.4464655
cu02_p2r3J20,26.541325,-3.9578686
cu02_p3r4O7,23.019104,-3.6705966
cu02_p3r2G2,25.702261,-2.4184978
cu01_p2r2G24,14.542642,-0.32569972
cu01_p1r1C22,23.492067,-4.684524
cu01_p1r1D21,24.612402,-8.989992
cu02_p1r3K12,24.11581,-0.045599144
cu03_p2r2H12,23.924,-4.201478
cu02_p1r3J13,23.956636,-3.601026
cu01_p2r1C2,21.105103,-7.465915
cu01_p1r2E6,26.984535,-7.571486
cu03_p4r1D5,21.875229,-4.230624
cu02_p1r2E17,24.12896,-7.5104628
cu01_p1r2F12,24.14324,-5.2497573
cu01_p1r4N16,25.346918,-1.6687233
cu03_p2r3L2,20.021849,-6.331207
cu03_p3r1B24,15.428893,-1.955083
cu03_p3r2G18,23.161346,-3.419974
cu03_p2r4O11,22.13114,-2.9350774
cu02_p1r1D4,25.686277,-8.7330885
cu03_p3r1C19,24.963839,-8.133209
cu02_p2r2H13,24.402706,-6.6516466
cu01_p2r4M14,19.518425,-8.032355
cu01_p2r3L6,20.249744,-8.875588
eso29_p1A4,22.265736,-6.353519
cu02_p2r2H22,15.260654,-0.8877144
cu02_p2r3I17,26.052258,-9.151092
cu02_p2r1C4,24.529984,-6.787859
cu01_p2r1A19,23.884245,-7.6097
cu01_p2r3J14,19.461874,-8.857435
cu01_p1r2F11,21.437723,-8.212159
cu01_p1r3L13,21.7573,-8.739657
cu03_p2r2F15,22.39323,-4.93596
cu01_p1r3J18,21.395916,-8.827223
cu03_p3r4N7,23.597466,-0.27954128
cu03_p2r1A17,25.49199,-2.3367627
cu03_p1r3K15,24.518213,-1.806994
cu02_p2r1C3,27.638546,-6.1870856
cu02_p3r1B17,24.463552,-2.4893277
cu01_p2r2F3,24.42641,-5.998859
cu02_p2r1B2,24.929203,-8.783309
cu01_p1r1C19,27.233389,-5.1673403
cu02_p3r2E13,20.194473,-8.004844
cu01_p1r1B21,20.993351,-0.26431644
cu03_p4r1A21,20.786583,-3.5099685
eso29_p1C5,22.803999,-6.2653575
cu03_p1r4N16,25.751343,-3.9612846
cu01_p1r2F13,20.599117,-9.044578
cu03_p3r2F9,23.704618,-3.604766
cu03_p2r1C14,23.049616,-6.0433254
cu03_p3r3I8,25.003605,0.024116099
cu02_p2r4O14,23.860878,-3.1317568
cu03_p2r4M6,22.84783,-4.097042
cu03_p2r2G15,23.14513,-2.0950732
cu03_p1r3I4,20.36665,-7.579158
eso29_p2H2,15.235261,0.50866795
cu03_p2r1D15,20.309921,-6.322553
cu01_p2r2G10,20.520868,-8.396738
cu01_p2r2E14,19.739962,-7.0784907
cu02_p3r1D19,23.291687,-6.012208
cu03_p2r4O23,15.473969,0.2958518
cu02_p3r1B21,24.215948,-4.8186383
cu02_p1r4N20,25.73712,-0.5410147
cu02_p3r3J16,25.649805,-0.27917132
cu02_p1r1B18,24.15965,-1.80626
cu02_p3r4M20,22.155848,-7.2855406
cu02_p1r2H1,21.340586,-0.21370088
cu03_p3r2E4,23.41433,-0.76691663
cu01_p2r3L16,24.202404,-2.6555169
cu01_p1r2G3,22.213291,-0.3036765
cu02_p2r4O9,21.825518,-5.169401
cu03_p3r3J21,24.46691,0.44076025
cu01_p2r4N23,15.217463,-0.18345532
cu01_p2r1A15,22.754562,-4.6121736
cu03_p3r3L16,25.677597,-6.347945
cu02_p2r1B9,25.163765,-0.86211133
cu03_p2r3K6,23.705816,-0.28947055
cu02_p3r3J2,25.926754,-8.669948
cu02_p3r3K14,23.837,-6.8367825
cu03_p2r1A3,24.215824,-0.10864478
cu03_p2r3J10,26.863457,-6.7443457
cu01_p1r3L9,26.18765,-2.1181097
